time_s,drag_N_per_m,lift_N_per_m
1.219999999999999973e+00,1.526163351299999960e+01,2.854599241599999754e-02
1.229999999999999982e+00,1.534756191999999864e+01,2.785836391899999820e-02
1.239999999999999991e+00,1.542970779700000072e+01,3.160100098600000101e-02
1.250000000000000000e+00,1.551056859499999874e+01,3.193851891800000148e-02
1.260000000000000009e+00,1.558966098299999992e+01,3.470368435800000317e-02
1.270000000000000018e+00,1.566801732099999889e+01,3.535582767099999801e-02
1.280000000000000027e+00,1.574380710899999869e+01,3.768406023499999702e-02
1.290000000000000036e+00,1.581816024200000115e+01,3.877743700399999965e-02
1.300000000000000044e+00,1.589085188599999832e+01,4.215718562199999991e-02
1.310000000000000053e+00,1.596170166799999990e+01,4.298079360100000301e-02
1.320000000000000062e+00,1.603042394099999868e+01,4.607901355099999763e-02
1.330000000000000071e+00,1.609766974500000103e+01,4.781460439799999768e-02
1.340000000000000080e+00,1.616278995800000118e+01,5.013998270799999851e-02
1.350000000000000089e+00,1.622651267899999894e+01,5.255991362199999989e-02
1.360000000000000098e+00,1.628822245299999949e+01,5.484659239099999584e-02
1.370000000000000107e+00,1.634797831499999887e+01,5.755282804899999882e-02
1.379999999999999893e+00,1.640727120300000053e+01,6.014811340300000447e-02
1.389999999999999902e+00,1.646420022599999911e+01,6.330744616000000269e-02
1.399999999999999911e+00,1.651963322399999967e+01,6.554991991600001011e-02
1.409999999999999920e+00,1.657232184999999802e+01,6.889358137300000129e-02
1.419999999999999929e+00,1.662320358599999892e+01,7.131687095300000279e-02
1.429999999999999938e+00,1.667169472199999802e+01,7.417271230199999621e-02
1.439999999999999947e+00,1.671836765599999808e+01,7.740132404999999771e-02
1.449999999999999956e+00,1.676343651899999898e+01,8.042878630300000220e-02
1.459999999999999964e+00,1.680579053599999995e+01,8.349759334799999877e-02
1.469999999999999973e+00,1.684626408899999817e+01,8.716786121999998971e-02
1.479999999999999982e+00,1.688459400400000021e+01,8.937571773599999048e-02
1.489999999999999991e+00,1.692079637299999817e+01,9.354316016800000300e-02
1.500000000000000000e+00,1.695485406499999925e+01,9.609670865500000159e-02
1.510000000000000009e+00,1.698675749000000224e+01,1.000988592999999954e-01
1.520000000000000018e+00,1.701650365000000065e+01,1.032823488299999953e-01
1.530000000000000027e+00,1.704391300200000003e+01,1.068118630700000127e-01
1.540000000000000036e+00,1.706859466499999911e+01,1.102101020899999839e-01
1.550000000000000044e+00,1.709138178699999955e+01,1.145432587099999983e-01
1.560000000000000053e+00,1.711168295000000228e+01,1.167741233099999915e-01
1.570000000000000062e+00,1.712909081400000133e+01,1.230592718999999891e-01
1.580000000000000071e+00,1.714485073599999865e+01,1.233779206199999978e-01
1.590000000000000080e+00,1.715852972499999751e+01,1.308340003099999760e-01
1.600000000000000089e+00,1.716837781599999957e+01,1.307067688200000133e-01
1.610000000000000098e+00,1.717742257000000095e+01,1.371766012800000045e-01
1.620000000000000107e+00,1.718387203800000052e+01,1.386474347999999968e-01
1.629999999999999893e+00,1.718674739399999751e+01,1.434369595599999936e-01
1.639999999999999902e+00,1.718753493899999896e+01,1.476190639599999910e-01
1.649999999999999911e+00,1.718526103800000016e+01,1.511485808700000211e-01
1.659999999999999920e+00,1.718237200999999814e+01,1.541162413699999900e-01
1.669999999999999929e+00,1.717426267999999823e+01,1.596033230099999922e-01
1.679999999999999938e+00,1.716530264600000066e+01,1.610300618100000136e-01
1.689999999999999947e+00,1.715183504199999831e+01,1.682217231199999996e-01
1.699999999999999956e+00,1.713677486399999950e+01,1.696260634800000056e-01
1.709999999999999964e+00,1.711901403699999946e+01,1.771458442099999864e-01
1.719999999999999973e+00,1.709962505600000071e+01,1.785758371399999989e-01
1.729999999999999982e+00,1.707662290200000044e+01,1.853821492000000126e-01
1.739999999999999991e+00,1.705004105100000089e+01,1.877955878299999992e-01
1.750000000000000000e+00,1.702125589199999922e+01,1.948685623899999997e-01
1.760000000000000009e+00,1.698868298700000068e+01,1.971284223299999694e-01
1.770000000000000018e+00,1.695344718400000161e+01,2.044048627899999748e-01
1.780000000000000027e+00,1.691581702499999906e+01,2.067222422499999934e-01
1.790000000000000036e+00,1.687403757499999912e+01,2.130012383200000081e-01
1.800000000000000044e+00,1.683080051299999980e+01,2.159540792000000098e-01
1.810000000000000053e+00,1.678521879000000183e+01,2.227489762699999820e-01
1.820000000000000062e+00,1.673673909300000062e+01,2.255179312200000230e-01
1.830000000000000071e+00,1.668576471100000091e+01,2.332697877999999891e-01
1.840000000000000080e+00,1.663190877099999909e+01,2.354809741499999942e-01
1.850000000000000089e+00,1.657500086499999981e+01,2.429278821099999930e-01
1.860000000000000098e+00,1.651569743499999987e+01,2.461285168100000031e-01
1.870000000000000107e+00,1.645347470200000117e+01,2.522926610499999778e-01
1.879999999999999893e+00,1.638843396299999711e+01,2.568330994799999933e-01
1.889999999999999902e+00,1.632043747699999869e+01,2.619603272199999555e-01
1.899999999999999911e+00,1.624962140199999894e+01,2.674064343099999963e-01
1.909999999999999920e+00,1.617608653699999977e+01,2.715777462899999772e-01
1.919999999999999929e+00,1.609873908799999853e+01,2.769009077800000385e-01
1.929999999999999938e+00,1.601926995300000200e+01,2.808034042399999985e-01
1.939999999999999947e+00,1.593764664900000128e+01,2.858872899700000136e-01
1.949999999999999956e+00,1.585252001599999794e+01,2.904335744400000086e-01
1.959999999999999964e+00,1.576519580300000101e+01,2.952076115699999725e-01
1.969999999999999973e+00,1.567513348900000025e+01,3.001462626699999969e-01
1.979999999999999982e+00,1.558249361600000071e+01,3.048174087699999646e-01
1.989999999999999991e+00,1.548721072800000087e+01,3.096222028200000254e-01
2.000000000000000000e+00,1.538920567399999939e+01,3.143006451500000020e-01
2.009999999999999787e+00,1.532249092200000007e+01,3.188767964900000029e-01
2.020000000000000018e+00,1.529085517000000038e+01,3.234093417799999703e-01
2.029999999999999805e+00,1.526243254499999757e+01,3.280613367899999910e-01
2.040000000000000036e+00,1.523470845899999837e+01,3.320656825600000195e-01
2.049999999999999822e+00,1.520897520099999944e+01,3.370951967699999940e-01
2.060000000000000053e+00,1.518686372899999881e+01,3.406848421800000026e-01
2.069999999999999840e+00,1.516665640400000115e+01,3.458720221200000111e-01
2.080000000000000071e+00,1.514572489700000091e+01,3.497926131799999894e-01
2.089999999999999858e+00,1.512573125800000007e+01,3.543056636099999879e-01
2.100000000000000089e+00,1.510694870700000081e+01,3.584343317600000023e-01
2.109999999999999876e+00,1.508994347500000011e+01,3.624848552399999591e-01
2.120000000000000107e+00,1.507307305600000014e+01,3.668460760199999671e-01
2.129999999999999893e+00,1.505541243600000101e+01,3.706685088999999711e-01
2.140000000000000124e+00,1.503944152999999950e+01,3.751883456499999769e-01
2.149999999999999911e+00,1.502403423700000040e+01,3.790195503999999604e-01
2.160000000000000142e+00,1.500928385799999987e+01,3.832655234199999761e-01
2.169999999999999929e+00,1.499367988799999907e+01,3.871794654799999846e-01
2.180000000000000160e+00,1.497918278300000061e+01,3.913408232699999711e-01
2.189999999999999947e+00,1.496541298400000031e+01,3.955123567599999612e-01
2.200000000000000178e+00,1.495158009499999885e+01,3.994383087199999682e-01
2.209999999999999964e+00,1.493777702799999929e+01,4.033118043699999711e-01
2.220000000000000195e+00,1.492438861800000005e+01,4.071183655999999762e-01
2.229999999999999982e+00,1.491140592899999895e+01,4.109706617299999643e-01
2.240000000000000213e+00,1.489844532000000044e+01,4.148913432999999928e-01
2.250000000000000000e+00,1.488546096099999971e+01,4.188547938800000203e-01
2.259999999999999787e+00,1.487301519799999916e+01,4.219417966099999751e-01
2.270000000000000018e+00,1.486084023999999992e+01,4.259248498799999560e-01
2.279999999999999805e+00,1.484912194100000171e+01,4.290840366099999970e-01
2.290000000000000036e+00,1.483726569100000070e+01,4.328735733700000421e-01
2.299999999999999822e+00,1.482571633299999903e+01,4.362353622199999781e-01
2.310000000000000053e+00,1.481429701999999970e+01,4.396797473499999831e-01
2.319999999999999840e+00,1.480329053099999825e+01,4.430235700899999851e-01
2.330000000000000071e+00,1.479220980100000027e+01,4.463900393299999880e-01
2.339999999999999858e+00,1.478139219300000029e+01,4.497184325799999938e-01
2.350000000000000089e+00,1.477048467100000018e+01,4.527129474499999584e-01
2.359999999999999876e+00,1.476003325399999788e+01,4.559907444799999876e-01
2.370000000000000107e+00,1.474961992799999955e+01,4.591761696100000179e-01
2.379999999999999893e+00,1.473942614600000134e+01,4.624043671300000491e-01
