time_window,total_iterations,iterations,converged,qn_columns,deleted_qn_columns,dropped_qn_columns
226,512,3,1,11,2,1
227,515,3,1,12,0,1
228,518,3,1,12,1,1
229,521,3,1,12,1,1
230,524,3,1,11,2,1
231,527,3,1,11,1,1
232,530,3,1,12,1,0
233,533,3,1,11,2,1
234,536,3,1,12,0,1
235,539,3,1,12,2,0
236,542,3,1,12,1,1
237,545,3,1,12,1,1
238,548,3,1,12,2,0
239,551,3,1,12,2,0
240,554,3,1,12,2,0
241,557,3,1,12,1,1
242,560,3,1,12,2,0
243,563,3,1,11,3,0
244,566,3,1,11,2,0
245,569,3,1,11,2,0
246,572,3,1,11,1,1
247,575,3,1,11,2,0
248,578,3,1,12,1,0
249,581,3,1,12,2,0
250,584,3,1,11,3,0
251,587,3,1,11,2,0
252,590,3,1,12,1,0
253,593,3,1,11,3,0
254,596,3,1,12,1,0
255,599,3,1,12,2,0
256,602,3,1,12,2,0
257,605,3,1,12,2,0
258,608,3,1,12,2,0
259,611,3,1,11,3,0
260,614,3,1,12,1,0
261,617,3,1,12,2,0
262,620,3,1,12,2,0
263,623,3,1,12,2,0
264,626,3,1,12,2,0
265,629,3,1,13,1,0
266,632,3,1,13,2,0
267,635,3,1,13,2,0
268,638,3,1,13,2,0
269,641,3,1,13,2,0
270,644,3,1,12,3,0
271,647,3,1,12,2,0
272,650,3,1,11,3,0
273,653,3,1,11,2,0
274,656,3,1,11,2,0
275,659,3,1,12,1,0
276,662,3,1,12,2,0
277,665,3,1,12,1,1
278,668,3,1,11,3,0
279,671,3,1,11,2,0
280,674,3,1,10,3,0
281,677,3,1,11,1,0
282,680,3,1,10,3,0
283,683,3,1,10,2,0
284,686,3,1,10,2,0
285,689,3,1,8,4,0
286,692,3,1,9,1,0
287,695,3,1,10,1,0
288,698,3,1,10,2,0
289,701,3,1,11,1,0
290,704,3,1,11,1,1
291,707,3,1,10,3,0
292,710,3,1,9,3,0
293,713,3,1,10,1,0
294,716,3,1,9,3,0
295,719,3,1,10,1,0
296,722,3,1,11,1,0
297,725,3,1,11,2,0
298,728,3,1,11,2,0
299,731,3,1,11,2,0
300,734,3,1,11,2,0
301,737,3,1,10,3,0
302,740,3,1,11,1,0
303,743,3,1,11,2,0
304,746,3,1,11,2,0
305,749,3,1,11,2,0
306,752,3,1,12,1,0
307,755,3,1,11,3,0
308,758,3,1,12,1,0
