time_s,ux_m,uy_m
1.020000000000000018e+00,7.370443910000000023e-06,-1.100727900000000002e-04
1.030000000000000027e+00,7.640395399999999981e-06,-1.125516719999999985e-04
1.040000000000000036e+00,7.911888489999999971e-06,-1.150329200000000025e-04
1.050000000000000044e+00,8.184800280000000138e-06,-1.175151479999999936e-04
1.060000000000000053e+00,8.459186880000000097e-06,-1.199973009999999999e-04
1.070000000000000062e+00,8.735042860000000268e-06,-1.224789410000000096e-04
1.080000000000000071e+00,9.012141219999999679e-06,-1.249589860000000093e-04
1.090000000000000080e+00,9.290282870000000557e-06,-1.274362720000000017e-04
1.100000000000000089e+00,9.569561759999999174e-06,-1.299092550000000034e-04
1.110000000000000098e+00,9.850156980000000374e-06,-1.323729199999999957e-04
1.120000000000000107e+00,1.013182220000000019e-05,-1.348236199999999958e-04
1.129999999999999893e+00,1.041417260000000073e-05,-1.372671480000000038e-04
1.139999999999999902e+00,1.069733639999999996e-05,-1.397032319999999951e-04
1.149999999999999911e+00,1.098130620000000068e-05,-1.421236940000000131e-04
1.159999999999999920e+00,1.126589920000000048e-05,-1.445276660000000023e-04
1.169999999999999929e+00,1.155100929999999946e-05,-1.469131119999999939e-04
1.179999999999999938e+00,1.183657330000000044e-05,-1.492767959999999892e-04
1.189999999999999947e+00,1.212256580000000023e-05,-1.516194679999999999e-04
1.199999999999999956e+00,1.240888910000000059e-05,-1.539398520000000018e-04
1.209999999999999964e+00,1.269547230000000057e-05,-1.562366840000000041e-04
1.219999999999999973e+00,1.298234340000000008e-05,-1.585094709999999981e-04
1.229999999999999982e+00,1.326946680000000045e-05,-1.607548350000000104e-04
1.239999999999999991e+00,1.355653149999999921e-05,-1.629692900000000112e-04
1.250000000000000000e+00,1.384322910000000082e-05,-1.651522020000000131e-04
1.260000000000000009e+00,1.412972050000000068e-05,-1.673032439999999946e-04
1.270000000000000018e+00,1.441619089999999974e-05,-1.694206940000000060e-04
1.280000000000000027e+00,1.470239650000000048e-05,-1.715029600000000118e-04
1.290000000000000036e+00,1.498819829999999926e-05,-1.735481320000000004e-04
1.300000000000000044e+00,1.527343310000000038e-05,-1.755533650000000098e-04
1.310000000000000053e+00,1.555803890000000088e-05,-1.775173069999999944e-04
1.320000000000000062e+00,1.584213049999999874e-05,-1.794389969999999994e-04
1.330000000000000071e+00,1.612555230000000043e-05,-1.813170439999999993e-04
1.340000000000000080e+00,1.640813559999999835e-05,-1.831507969999999932e-04
1.350000000000000089e+00,1.668977519999999883e-05,-1.849399539999999954e-04
1.360000000000000098e+00,1.697044269999999880e-05,-1.866843499999999874e-04
1.370000000000000107e+00,1.725016790000000048e-05,-1.883827260000000127e-04
1.379999999999999893e+00,1.752869280000000140e-05,-1.900342110000000008e-04
1.389999999999999902e+00,1.780592210000000018e-05,-1.916378410000000091e-04
1.399999999999999911e+00,1.808195949999999989e-05,-1.931921990000000074e-04
1.409999999999999920e+00,1.835682270000000161e-05,-1.946955790000000092e-04
1.419999999999999929e+00,1.863020010000000158e-05,-1.961472189999999966e-04
1.429999999999999938e+00,1.890185610000000066e-05,-1.975489999999999885e-04
1.439999999999999947e+00,1.917195189999999915e-05,-1.988994310000000067e-04
1.449999999999999956e+00,1.944048860000000147e-05,-2.001959590000000069e-04
1.459999999999999964e+00,1.970722379999999906e-05,-2.014379639999999997e-04
1.469999999999999973e+00,1.997184349999999977e-05,-2.026222489999999934e-04
1.479999999999999982e+00,2.023450500000000118e-05,-2.037468820000000100e-04
1.489999999999999991e+00,2.049550099999999993e-05,-2.048111630000000005e-04
1.500000000000000000e+00,2.075457089999999851e-05,-2.058135970000000026e-04
1.510000000000000009e+00,2.101139099999999881e-05,-2.067537429999999896e-04
1.520000000000000018e+00,2.126505660000000002e-05,-2.076187360000000034e-04
1.530000000000000027e+00,2.151617500000000072e-05,-2.083976189999999971e-04
1.540000000000000036e+00,2.176593969999999901e-05,-2.091007200000000101e-04
1.550000000000000044e+00,2.201413689999999945e-05,-2.097325299999999867e-04
1.560000000000000053e+00,2.225949689999999942e-05,-2.102896209999999906e-04
1.570000000000000062e+00,2.250139870000000019e-05,-2.107729509999999886e-04
1.580000000000000071e+00,2.274100990000000038e-05,-2.111839230000000123e-04
1.590000000000000080e+00,2.297879349999999983e-05,-2.115212179999999926e-04
1.600000000000000089e+00,2.321352640000000150e-05,-2.117802180000000049e-04
1.610000000000000098e+00,2.344486049999999837e-05,-2.119576819999999891e-04
1.620000000000000107e+00,2.367348629999999944e-05,-2.120538889999999958e-04
1.629999999999999893e+00,2.389891250000000003e-05,-2.120836380000000075e-04
1.639999999999999902e+00,2.412135169999999969e-05,-2.120566810000000068e-04
1.649999999999999911e+00,2.434098780000000018e-05,-2.119614550000000104e-04
1.659999999999999920e+00,2.455801149999999912e-05,-2.117965619999999936e-04
1.669999999999999929e+00,2.477230559999999996e-05,-2.115658519999999952e-04
1.679999999999999938e+00,2.498290399999999854e-05,-2.112661390000000066e-04
1.689999999999999947e+00,2.519016030000000023e-05,-2.108976260000000027e-04
1.699999999999999956e+00,2.539447639999999965e-05,-2.104603999999999882e-04
1.709999999999999964e+00,2.559544020000000160e-05,-2.099542169999999894e-04
1.719999999999999973e+00,2.579240380000000167e-05,-2.093845349999999897e-04
1.729999999999999982e+00,2.598546239999999962e-05,-2.087567220000000068e-04
1.739999999999999991e+00,2.617557049999999987e-05,-2.080704789999999885e-04
1.750000000000000000e+00,2.636285419999999865e-05,-2.073237130000000041e-04
1.760000000000000009e+00,2.654625309999999997e-05,-2.065140789999999910e-04
1.770000000000000018e+00,2.672552620000000120e-05,-2.056394000000000017e-04
1.780000000000000027e+00,2.690143419999999918e-05,-2.046978310000000087e-04
1.790000000000000036e+00,2.707402389999999934e-05,-2.036877310000000097e-04
1.800000000000000044e+00,2.724264299999999998e-05,-2.026096539999999865e-04
1.810000000000000053e+00,2.740699010000000128e-05,-2.014639630000000065e-04
1.820000000000000062e+00,2.756753100000000140e-05,-2.002503280000000061e-04
1.830000000000000071e+00,2.772470749999999954e-05,-1.989667430000000047e-04
1.840000000000000080e+00,2.787802450000000009e-05,-1.976100969999999922e-04
1.850000000000000089e+00,2.802694679999999963e-05,-1.961802699999999871e-04
1.860000000000000098e+00,2.817163399999999943e-05,-1.946761240000000103e-04
1.870000000000000107e+00,2.831251979999999853e-05,-1.930970350000000071e-04
1.879999999999999893e+00,2.844966909999999984e-05,-1.914437659999999918e-04
1.889999999999999902e+00,2.858261569999999866e-05,-1.897160220000000046e-04
1.899999999999999911e+00,2.871129509999999861e-05,-1.879133430000000133e-04
1.909999999999999920e+00,2.883597640000000050e-05,-1.860349440000000105e-04
1.919999999999999929e+00,2.895666520000000091e-05,-1.840802130000000021e-04
1.929999999999999938e+00,2.907327400000000051e-05,-1.820487009999999933e-04
1.939999999999999947e+00,2.918554750000000028e-05,-1.799397860000000030e-04
1.949999999999999956e+00,2.929349949999999860e-05,-1.777527140000000083e-04
1.959999999999999964e+00,2.939742180000000111e-05,-1.754864439999999945e-04
1.969999999999999973e+00,2.949716139999999915e-05,-1.731407130000000097e-04
1.979999999999999982e+00,2.959250720000000071e-05,-1.707170359999999904e-04
1.989999999999999991e+00,2.968354120000000001e-05,-1.682178430000000119e-04
2.000000000000000000e+00,2.977032659999999931e-05,-1.656451409999999962e-04
2.009999999999999787e+00,2.978575309999999834e-05,-1.630009179999999957e-04
2.020000000000000018e+00,2.964350539999999844e-05,-1.602865380000000083e-04
2.029999999999999805e+00,2.940517930000000169e-05,-1.575024620000000080e-04
2.040000000000000036e+00,2.922024879999999934e-05,-1.546494649999999879e-04
2.049999999999999822e+00,2.913502130000000033e-05,-1.517270869999999972e-04
2.060000000000000053e+00,2.904667939999999989e-05,-1.487357290000000058e-04
2.069999999999999840e+00,2.888278180000000158e-05,-1.456765909999999890e-04
2.080000000000000071e+00,2.872319240000000093e-05,-1.425490439999999937e-04
2.089999999999999858e+00,2.863296840000000069e-05,-1.393523110000000076e-04
2.100000000000000089e+00,2.855337439999999869e-05,-1.360847739999999906e-04
2.109999999999999876e+00,2.842923730000000154e-05,-1.327445790000000056e-04
2.120000000000000107e+00,2.829354059999999844e-05,-1.293308799999999905e-04
