time_window,iteration,displacement_abs_or_rel_measure,force_relative_measure
8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.857090559999999252e-03
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.260665330000000084e-01
9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,7.428374809999999974e-03
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.122193080000000037e-01
1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,6.548746159999999615e-03
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.017141609999999974e-01
1.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,6.104231439999999870e-03
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.325728229999999397e-02
1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.638063339999999958e-03
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.571758209999999489e-02
1.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.054767439999999917e-03
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.901073459999999327e-02
1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.600902559999999961e-03
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.345297750000000236e-02
1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.370644840000000031e-03
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.884978969999999698e-02
1.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.156952549999999753e-03
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.461175180000000573e-02
1.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.872736999999999794e-03
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.066577890000000167e-02
1.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.628776609999999955e-03
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.723366190000000325e-02
1.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.485363229999999951e-03
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.427486809999999828e-02
2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.378572529999999876e-03
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.155867079999999769e-02
2.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.241835299999999871e-03
2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,4.897178829999999927e-02
2.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.107417089999999979e-03
2.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,4.661695939999999788e-02
2.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.029553559999999864e-03
2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,4.455350870000000102e-02
2.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.976931319999999957e-03
2.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,4.263631310000000341e-02
2.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.918038530000000019e-03
2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,4.080621219999999716e-02
2.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.858134090000000096e-03
2.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.909794839999999883e-02
2.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.822044499999999852e-03
2.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.755171489999999807e-02
2.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.808619610000000211e-03
2.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.612474110000000321e-02
2.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.794578079999999933e-03
3.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.475175519999999796e-02
3.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.779905499999999786e-03
3.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.344898839999999735e-02
3.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.778958900000000082e-03
3.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.225069550000000257e-02
3.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.789589060000000065e-03
3.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.113003740000000116e-02
3.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.804934289999999955e-03
3.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.005994879999999980e-02
3.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.820283790000000131e-03
3.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.903155149999999893e-02
3.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.842111709999999795e-03
3.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.806809279999999962e-02
3.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.871591470000000017e-03
3.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.716474290000000028e-02
3.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.905669459999999944e-03
3.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.629828830000000006e-02
3.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.939880079999999864e-03
3.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.546358019999999875e-02
3.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.977745779999999877e-03
4.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.467197960000000120e-02
4.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.020142429999999982e-03
4.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.392187620000000084e-02
4.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.065811889999999797e-03
4.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.320471689999999837e-02
4.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.112116680000000159e-03
4.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.251034899999999894e-02
4.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.159918610000000006e-03
4.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.184615989999999855e-02
4.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.211013960000000042e-03
4.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.121320239999999885e-02
4.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.264075109999999957e-03
4.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.060563290000000033e-02
4.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.317715900000000034e-03
4.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.001784449999999965e-02
4.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.373969890000000013e-03
